Pengambilan Data clean
02:05:51.398 -> ESP-ROM:esp32s3-20210327
02:05:51.398 -> temp,hum,gas,label
02:07:16.387 -> 28.20,95.00,683,0
02:07:18.366 -> 28.20,95.00,685,0
02:07:20.352 -> 28.20,95.00,684,0
02:07:22.385 -> 28.20,95.00,684,0
02:07:24.352 -> 28.20,95.00,684,0
02:07:26.373 -> 28.20,95.00,685,0
02:07:28.354 -> 28.20,95.00,685,0
02:07:28.354 -> --- PENGAMBILAN DATA SELESAI ---
Pengambilan Data Stale
02:24:28.659 -> ESP-ROM:esp32s3-20210327
02:24:28.659 -> temp,hum,gas,label
02:24:28.659 -> 29.00,95.00,671,1
02:24:29.872 -> 29.10,95.00,669,1
02:24:31.892 -> 29.10,95.00,665,1
02:24:33.874 -> 29.10,95.00,682,1
02:24:35.858 -> 29.20,95.00,703,1
02:24:37.858 -> 29.20,95.00,725,1
02:24:39.903 -> 29.20,95.00,728,1
02:24:41.889 -> 29.20,95.00,735,1
02:24:43.857 -> 29.20,95.00,735,1
02:24:45.887 -> 29.20,95.00,741,1
02:24:47.858 -> 29.30,95.00,765,1
02:24:49.858 -> 29.40,95.00,799,1
02:24:51.890 -> 29.50,95.00,806,1
02:24:53.881 -> 29.60,95.00,804,1
02:24:55.901 -> 29.70,95.00,804,1
02:24:57.872 -> 29.90,95.00,819,1
02:24:59.907 -> 30.00,95.00,819,1
02:25:01.906 -> 30.20,95.00,813,1
02:25:03.897 -> 30.40,95.00,815,1
02:25:05.864 -> 30.50,95.00,815,1
02:25:07.864 -> 30.60,95.00,826,1
02:25:09.860 -> 30.70,95.00,823,1
02:25:11.885 -> 30.90,95.00,830,1
02:25:13.905 -> 31.00,95.00,805,1
02:25:15.891 -> 31.20,95.00,806,1
02:25:17.889 -> 31.30,95.00,808,1
02:25:19.860 -> 31.40,95.00,797,1
02:25:21.876 -> 31.60,95.00,808,1
02:25:23.891 -> 31.70,95.00,803,1
02:25:25.901 -> 31.80,95.00,808,1
02:25:27.888 -> 31.90,95.00,808,1
02:25:29.916 -> 32.10,95.00,797,1
02:25:31.881 -> 32.20,95.00,782,1
02:25:33.890 -> 32.20,95.00,777,1
02:25:35.884 -> 32.40,95.00,777,1
02:25:37.896 -> 32.40,95.00,794,1
02:25:39.881 -> 32.50,95.00,811,1
02:25:41.902 -> 32.60,95.00,829,1
02:25:43.860 -> 32.70,95.00,841,1
02:25:45.891 -> 32.70,95.00,855,1
02:25:47.860 -> 32.80,95.00,851,1
02:25:49.877 -> 32.90,95.00,859,1
02:25:51.880 -> 32.90,95.00,858,1
02:25:53.891 -> 32.90,95.00,854,1
02:25:55.868 -> 33.00,95.00,851,1
02:25:57.871 -> 33.10,95.00,845,1
02:25:59.910 -> 33.10,95.00,841,1
02:26:01.875 -> 33.20,95.00,839,1
02:26:03.875 -> 33.20,95.00,831,1
02:26:05.879 -> 33.20,95.00,829,1
02:26:05.879 -> --- PENGAMBILAN DATA SELESAI ---
Pengambilan Data Harzadus
02:33:05.230 -> ESP-ROM:esp32s3-20210327
02:33:05.230 -> temp,hum,gas,label
02:33:05.267 -> 33.40,95.00,687,2
02:33:07.279 -> 28.20,95.00,682,2
02:33:09.231 -> 28.20,95.00,679,2
02:33:11.231 -> 28.20,95.00,677,2
02:33:13.234 -> 28.30,95.00,677,2
02:33:15.270 -> 28.50,95.00,675,2
02:33:17.242 -> 29.20,95.00,677,2
02:33:19.261 -> 30.10,93.00,679,2
02:33:21.249 -> 31.20,90.00,677,2
02:33:23.259 -> 32.20,86.00,684,2
02:33:25.230 -> 32.90,83.00,681,2
02:33:27.236 -> 33.70,81.00,659,2
02:33:29.231 -> 34.30,78.00,681,2
02:33:31.267 -> 35.10,75.00,685,2
02:33:33.271 -> 35.70,73.00,693,2
02:33:35.285 -> 36.20,72.00,683,2
02:33:37.266 -> 36.80,70.00,684,2
02:33:39.235 -> 37.40,68.00,678,2
02:33:41.264 -> 37.90,66.00,678,2
02:33:43.269 -> 38.30,66.00,683,2
02:33:45.258 -> 38.70,64.00,685,2
02:33:47.259 -> 38.90,63.00,684,2
02:33:49.243 -> 39.20,62.00,683,2
02:33:51.267 -> 39.20,61.00,684,2
02:33:53.263 -> 39.40,60.00,685,2
02:33:55.249 -> 39.70,59.00,685,2
02:33:57.238 -> 39.80,59.00,687,2
02:33:59.239 -> 40.00,58.00,702,2
02:34:01.278 -> 40.20,57.00,739,2
02:34:03.281 -> 40.40,56.00,695,2
02:34:05.271 -> 40.50,56.00,698,2
02:34:07.286 -> 40.50,55.00,711,2
02:34:09.241 -> 40.70,55.00,700,2
02:34:11.272 -> 40.80,54.00,708,2
02:34:13.235 -> 40.90,54.00,719,2
02:34:15.265 -> 41.00,54.00,725,2
02:34:17.272 -> 41.10,54.00,729,2
02:34:19.245 -> 41.30,53.00,745,2
02:34:21.281 -> 41.30,53.00,747,2
02:34:23.268 -> 41.30,53.00,748,2
02:34:25.265 -> 41.30,53.00,748,2
02:34:27.253 -> 41.40,52.00,751,2
02:34:29.236 -> 41.40,52.00,748,2
02:34:31.283 -> 41.50,52.00,748,2
02:34:33.280 -> 41.40,51.00,748,2
02:34:35.239 -> 41.40,51.00,745,2
02:34:37.268 -> 41.50,51.00,745,2
02:34:39.255 -> 41.50,51.00,747,2
02:34:41.236 -> 41.60,51.00,757,2
02:34:43.268 -> 41.50,51.00,777,2
02:34:43.268 -> --- PENGAMBILAN DATA SELESAI ---
